Character,Text,Episode,LineNumber
Morty,"""Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it.""",101,99
Frank,"""You telling me how to bully now? Big mistake, Morty and now I'm gonna cut you, 'cause my family's rich. (Frank suddenly freezes and Rick steps out from behind him)""",101,100
Rick,"""There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.""",101,101
Morty,"""Oh, geez, Rick. W-w-what'd you do to Frank?""",101,102
Rick,"""It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business. (burps) It's important. Come on, Morty.""",101,103
Morty,"""I don't know, Rick. I can't leave school again.""",101,104
Rick,"""Do you have any concept of how much higher the stakes get out there, Morty? What do you think I can just do it all by myself? Come on!""",101,105
Morty,"""Aw, geez. Okay. I guess I can skip history. What about Frank? I mean, shouldn't you unfreeze him?""",101,106
Rick,"""I'll do it later, Morty. He'll be fine. Let's go. (takes off with Morty and then Summer comes by, seeing Frank's frozen body)""",101,107
Summer (in her head),"""Oh, my God. I'm about to walk past Frank Palicky. This is the story we'll be telling our children. (walks up to Frank and talks to him, oblivious to the fact that he's frozen)""",101,108
Summer,"""Hi, Frank. (Frank's frozen foot breaks and he drops to the ground and shatters into a million pieces, dying)""",101,109
Summer,"""AAAAAAAAAAAHHHHH!!!!!!!""",101,110
DIRECTION,"""[Cut to horse hospital]""",101,111
Beth,"""(performing heart surgery on a horse) Scalpel.""",101,112
Davin,"""Scalpel. (Jerry enters the room)""",101,113
Jerry,"""Knock, knock.""",101,114
Beth,"""Jerry?""",101,115
Jerry,"""My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?"" (The beeping from the medical equipment speeds up)""",101,116
Tom,"""(offscreen) We're losing him. (Beth adjusts the horse's organs)""",101,117
Tom,"""(offscreen) Okay, he's back.""",101,118
Beth,"""Jerry, please tell me you're here for an incredibly urgent reason.""",101,119
Jerry,"""Well, it's lunch. I mean, it's one of three meals that have existed for millennia. (the beeping speeds up again)""",101,120
Tom,"""(offscreen) Losing him. (Beth adjusts the organs again)""",101,121
Tom,"""(offscreen) Stabilized.""",101,122
Beth,"""Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery.""",101,123
Jerry,"""Well, yeah, on horses.""",101,124
Beth,"""Excuse me?""",101,125
Jerry,"""Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way. (drops a pamphlet on the ground)""",101,126
Jerry,"""Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home. (Beth looks at Jerry angrily and the equipment starts beeping faster again)""",101,127
Tom,"""(offscreen) We're losing him.""",101,128
Beth,"""Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!""",101,129
DIRECTION,"""[Cut to alleyway]""",101,130
Rick,"""There she is. All right. Come on, Morty. Let's go.""",101,131
Morty,"""Oh, geez, okay. (Rick and Morty go through the portal and end up in a crazy alternate dimension)""",101,132
Morty,"""Oh, man, Rick. What is this place?""",101,133
Rick,"""It's Dimension 35-C, and it's got the perfect climate conditions for a special type of tree, Morty, called a Mega Tree, and there's fruit in those trees, and there's seeds in those fruits. I'm talking about Mega Seeds. They're they're incredibly powerful, and I need them to help me with my research, Morty.""",101,134
Morty,"""Oh, man, Rick. I'm looking around this place, and I'm starting to work up some anxiety about this whole thing.""",101,135
Rick,"""All right, all right, calm down. Listen to me, Morty. I know that new situations can be intimidating. You're looking around, and it's all scary and different, but, you know, m-meeting them head on, charging right into them like a bull that's how we grow as people. I'm no stranger to scary situations. I deal with them all the time. Now, if you just stick with me, Morty, we're gonna be— (a gigantic alien monster suddenly appears behind them)""",101,136
Rick,"""HOLY CRAP, MORTY RUN!!! (they take off, running in complete and total fear as the monster chases them)""",101,137
Rick,"""I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!""",101,138
DIRECTION,"""[Cut to black]""",101,139
Rick,"""(having apparently escaped, they are walking through Dimension 35-C, continuing their adventure) Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.""",101,140
Morty,"""All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?""",101,141
Rick,"""Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there. (a weird looking monster is seen cooing and rolling around on the ground) What the hell is that thing? You think you're gonna see that kind of thing at school? (offscreen) Look at it just lumbering around. (onscreen) It defies all logic, that thing.""",101,142
Morty,"""Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave. (they come up to a cliff and Rick stops him there)""",101,143
Rick,"""Ta-ta-ta-ta-ta-ta. Morty, you see this? (he and Morty are looking down upon a vast forest of interdimensional trees)""",101,144
Rick,"""You see what we just stumbled upon, Morty? Any idea what that is down there?""",101,145
Morty,"""The mega trees?""",101,146
Rick,"""That's right, Morty the mega trees with the mega fruit on them and that's what I'm talking about, Morty. That's where my seeds are. If we would have done what you wanted, I would have never have found them, because you're so in love with school.""",101,147
Morty,"""All right, all right. So, what's so special about these seeds, anyways?""",101,148
Rick,"""You ask a lot of questions, Morty. Not very charismatic. It makes you kind of an (burps) under- (burps) underfoot figure. (Rick gives Morty a pair of shoes and Morty proceeds to put them on)""",101,149
Rick,"""Just take these shoes, Morty. They're (burps) special grappling shoes. When you're wearing these things, these babies, you can basically just walk on any surface you want, Morty up, down, below, turn around to the left. These things really bring it all together.""",101,150
Morty,"""(walks off the cliff and plummets to the ground, screaming and smashing into rocks) AAAAAAAHHHH!!!!!!""",101,151
Rick,"""You have to turn them on, Morty! The shoes have to be turned on!""",101,152
DIRECTION,"""[Cut to hospital]""",101,153
Beth,"""I am not putting my father in a home! He just came back into my life, and you want to grab him and stuff him under a mattress like last month's Victoria's Secret?""",101,154
Jerry,"""I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son.""",101,155
Davin,"""Everything cool in here, Beth?""",101,156
Beth,"""It's fine, Davin.""",101,157
Davin,"""Okay, cool. You know, we did something great today. There's nothing more noble and free than the heart of a horse. (Jerry closes the door on Davin)""",101,158
Jerry,"""Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.""",101,159
Beth,"""Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend. (the phone starts ringing)""",101,160
Jerry,"""(sighs) Well, maybe you're right.""",101,161
Beth,"""Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?""",101,162
Jerry,"""(coughs) Ahem, Horse heart surgeon. (Beth answers the phone and gets a call from Morty's principal, Gene Vagina)""",101,163
Principal Vagina,"""Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?""",101,164
DIRECTION,"""[Cut to Dimension 35-C]""",101,165
Rick,"""(standing by Morty, who is lying on the ground with his legs broken) Morty, oh, you really d-did a number on (offscreen) your legs right now. You know, you got to turn (onscreen) the shoes on, Morty, for them to work. Yeah, look I turned mine on. I had no problem getting down here. It was a leisurely breeze.""",101,166
Morty,"""I'm in a lot of pain, Rick!""",101,167
Rick,"""Yeah, I can see that. But do you think you'll still be able to help me (burps) collect my seeds, Morty?""",101,168
Morty,"""Are you kidding me?! That's it, Rick! That's the last straw! I can't believe this! I'm sitting here with both of my legs broken, and you're still asking me about getting those seeds?! Ooh! Ow! Oh! Y-y-you're a monster. Y-you're like Hitler, but-but even Hitler cared about Germany or something.""",101,169
Rick,"""Okay, hold on just a second, Morty. (opens another portal and leaves Morty behind, lying on the ground to suffer for a few seconds)""",101,170
Morty,"""Ooh! Ohh! Ooh! Hnngh! Hoo! Ooh! Ohh! Aaaaagh! Oooooh! (Rick finally returns and injects Morty's legs with medicine, healing them to perfection)""",101,171
Morty,"""Ooh, Ohh, Ooh. Wow, Rick. That stuff just healed my broken legs instantly. I mean, I've never felt so good in my life. Thank you.""",101,172
Rick,"""Don't worry about it, Morty. Just come help me get these seeds, all right, buddy?""",101,173
Morty,"""Sure thing, Rick. (goes up the tree and gets the Mega Fruit while Rick talks to him)""",101,174
Rick,"""Not that you asked, Morty, but what just happened there is I went into a future dimension with such advanced medicine that they had broken-leg serum at every corner drugstore. (offscreen) The stuff was all over the place, Morty.""",101,175
Morty,"""Wow, that's pretty crazy, Rick.""",101,176
Rick,"""There's just one problem, Morty one little hang-up. The dimension I visited was so advanced, that (burps) they had also halted the aging process, and everyone there was young, Morty, and they had been forever. I was the only old person there, Morty. (burps) It was like I was some sort of, you know, celebrity, walking around. I-I was fascinating to them. There were a lot of attractive women there, Morty, and they-they-they— they all wanted time with me. I had a lot of fun with a lot of young ladies, but I spent so much time there, my interdimensional portal device it's got no charge left, Morty. It's got no charge left.""",101,177
Morty,"""What?!""",101,178
Rick,"""It's as good as garbage, Morty. It's not gonna work anymore, Morty.""",101,179
Morty,"""Oh, geez, Rick, that's not good. W-what are we gonna do? I-I have to be back at school right now. How are we gonna get back home?""",101,180
Rick,"""There's ways to get back home, Morty. It's just it's just gonna be a little bit of a hassle. We're gonna have to go through interdimensional customs, so you're gonna have to do me a real solid.""",101,181
Morty,"""Uh-oh.""",101,182
Rick,"""When we get to customs, I'm gonna need you to take these seeds into the bathroom, and I'm gonna need you to put them way up inside your butthole, Morty.""",101,183
Morty,"""In my butt?""",101,184
Rick,"""Put them way up inside there, as far as they can fit.""",101,185
Morty,"""Oh, geez, Rick. I really don't want to have to do that.""",101,186
Rick,"""Well, somebody's got to do it, Morty. Th-these seeds aren't gonna get through customs unless they're in someone's rectum, Morty""",101,187
Morty,"""Uuuh.""",101,188
Rick,"""And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y- (burps) you've got to put these seeds inside your butt.""",101,189
Morty,"""In my butt?""",101,190
Rick,"""Come on, Morty. Please, Morty. You have to do it, Morty.""",101,191
Morty,"""Oh, man.""",101,192
DIRECTION,"""[Cut to high school]""",101,193
Principal Vagina,"""The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months.""",101,194
Beth,"""What? Why didn't you notify us?""",101,195
Principal Vagina,"""I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?""",101,196
Jerry,"""Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?""",101,197
Principal Vagina,"""Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school. (they stop to see Summer and some other students, crying at an obituary for Frank)""",101,198
Beth,"""Summer?""",101,199
Summer,"""(sobs) What kind of God lets this happen?""",101,200
Principal Vagina,"""We had a little incident. A student was frozen to death. (chuckles) And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.""",101,201
DIRECTION,"""[Cut to Intergalactic Customs]""",101,202
Announcer,"""The glarp zone is for flarping and unglarping only.""",101,203
Alien,"""So, I told him, ""give me the blimfarx,"" you know? This-this guy he doesn't understand interstellar currency.""",101,204
Alien,"""It's, like, I'm trying to eat a flimflam like, that's what we eat on Girvonesk.""",101,205
Announcer,"""The glarp zone is for flarping and unglarping only.""",101,206
Rick,"""(Morty comes up to him, who is waiting in line to get through security) I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?""",101,207
Morty,"""Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt.""",101,208
Rick,"""That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-""",101,209
DIRECTION,"""(burps) all kind of things with them. It's gonna be great, Morty. A- (burps) all kinds of science. (aliens are going through security with a Gromflomite, letting them through)""",101,210
Gromflomite,"""Okay, next through. (stops Morty) Except you. You go over there.""",101,211
Rick,"""Why does he have to go over there?""",101,212
Gromflomite,"""Random check. He's got to go through the new machine.""",101,213
Rick,"""What new- (burps) what new machine?""",101,214
Gromflomite,"""It's a new machine. It detects stuff all the way up your butt.""",101,215
Rick,"""Run, Morty! Run! (grabs Morty and they run through security and dart for the exit)""",101,216
Morty,"""Aaaaaah!""",101,217
Gromfomite,"""Red alert! (team of Gromflomites starts chasing after Rick and Morty)""",101,218
Morty,"""Ohhhhh! (Rick pushes over a giant capsule, with an alien fetus over, smashing some Gromflomites, to slow them down)""",101,219
Morty,"""Ohhhhhh! (an alien is seen smoking a hookah and Morty runs past him and accidentally inhales the smoke from the hookah while Rick comes from behind and slaps the alien in the face, causing the alien to cry; he then coughs up a life form from the smoke and the lifeform starts running through the glarp zone and goes through the entire aging process from developing fetus to decomposing corpse, over the course of three seconds)""",101,220
Morty,"""Aaaaah!""",101,221
Rick,"""Don't think about it! (he and Morty are cornered but Morty activates the grappling shoes and runs up the wall with Rick)""",101,222
Rick,"""Ooh! Oh, nice, Morty! The student becomes the teacher. (the Gromflomites reveal that they can fly and then Rick and Morty start running away)""",101,223
Morty,"""Whoooooo! (he and Rick run through the equipment on the ceiling, before they slip off to the ground)""",101,224
Alien,"""Aah! Aw, hell, no, dawg. You know me I'm just trying to— (Rick and Morty crash to the ground and he dies; they then run to the portal computer)""",101,225
Rick,"""I need to type in the coordinates to our home world, Morty. Cover me. (he tosses Morty a gun)""",101,226
Morty,"""Oh, man. I mean, you know, I-I don't want to shoot nobody.""",101,227
Rick,"""They're just robots, Morty! It's okay to shoot them! They're robots! (Morty shoots a Glenn, blowing his leg off, and making blood gush out as he drops down in pain)""",101,228
Glenn,"""Aaaaah! My leg is shot off!""",101,229
Other Gromflomite,"""Glenn's bleeding to death! Someone call his wife and children!""",101,230
Morty,"""They're not robots, Rick!""",101,231
Rick,"""It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here! (Morty continues shooting the Gromflomites and even kills some innocent bystanders while Rick hacks into the portal to take them back home)""",101,232
Morty,"""Holy crap! This is insane! (Rick opens the portal and takes Morty in with him)""",101,233
Rick,"""Come on, Morty! We got to get the hell out of here! (the portal opens up in the lunchroom at school and Rick and Morty land on the table where Jessica and her friends are eating)""",101,234
Jessica,"""Wow. Did you just come into the cafeteria through a portal?""",101,235
Morty,"""Uh, yeah. Well, you know, my-my Ferrari's in the shop. (nervously laughs) Just kidding.""",101,236
Jessica,"""You're Morty, right?""",101,237
Morty,"""Yeah. (Rick grabs Morty and takes him way)""",101,238
Rick,"""You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass. (Rick and Morty are stopped by Jerry, Beth, and Principal Vagina)""",101,239
Jerry,"""Oh, look, honey. It's our son with Albert Ein-douche.""",101,240
Beth,"""What?""",101,241
Jerry,"""I'm an angry father, not an improviser.""",101,242
Rick,"""Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers? (Rick and Morty are back at home in the garage while Jerry and Beth start taking all his things and packing them up so he can move to the nursing home)""",101,243
Rick,"""You guys should really not be touching that stuff. It's beyond your reasoning.""",101,244
Jerry,"""You're beyond our reasoning!""",101,245
Rick,"""Takes one to know one.""",101,246
Beth,"""Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's.""",101,247
Rick,"""What what are you guys doing with my stuff?""",101,248
Beth,"""We're moving you to a nursing home.""",101,249
Rick,"""A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun.""",101,250
Jerry,"""Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas.""",101,251
Beth,"""What does that mean?""",101,252
Jerry,"""It's personal.""",101,253
Morty,"""Dad, mom, come on. Rick just needed my help is all.""",101,254
Jerry,"""Morty, stay out of this. You are obviously not capable of judging these situations on your own.""",101,255
Rick,"""What are you trying to say about Morty? That he's stupid or something?""",101,256
Beth,"""Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes.""",101,257
Rick,"""I-I-I don't know what you mean by that. Can can can you be a little bit more specific?""",101,258
Jerry,"""Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?""",101,259
Morty,"""I do?""",101,260
Jerry,"""Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.""",101,261
Morty,"""Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once.""",101,262
Rick,"""Morty, t-tell your parents the square root of pi.""",101,263
Morty,"""Oh, come on, Rick. You know I can't.""",101,264
Rick,"""The square root of Pi, Morty. Go!""",101,265
Morty,"""1.77245385... Whoa!""",101,266
Beth,"""What the hell?""",101,267
Jerry,"""(checks Morty's answer with calculator) Holy crap. He's right.""",101,268
Rick,"""Morty, tell your parents the first law of Thermodynamics.""",101,269
Morty,"""The increment in the internal energy of a system is equal to the increment of heat supplied to the system."" Wow! I'm so smart!""",101,270
Jerry,"""But—""",101,271
Rick,"""I told the both of you school is stupid. It's not how you learn things. Morty's a gifted child. He has a special mind. That's why he's my little helper. He's like me. He's gonna be doing great science stuff later in his life. He's too smart for school. He needs to keep hanging out and helping me.""",101,272
Beth,"""Jerry, I don't want whatever's happening here to stop.""",101,273
Jerry,"""No, I-I understand. Uh, maybe we overreacted. But he has to keep going to school.""",101,274
Rick,"""Okay, Jerry. You drive a hard bargain, but what am I supposed to do? Say no? You-you really wear the pants around here. I just want you to know, between us, from now on, it's gonna be clear communication. (Summer butts in, crying over the death of Frank)""",101,275
Summer,"""(crying) Frank Palicky was frozen to death today!""",101,276
Rick,"""No idea what you're talking about. (Summer leaves, crying)""",101,277
Jerry,"""Okay. Well, uh, Morty, it's your bedtime in an hour. Don't stay up all night again. This is good, though. This can work. I think we can be a family and now, Beth, if you'll have me, I would love to have you.""",101,278
Beth,"""You know what? Okay. (she and Jerry leave)""",101,279
Morty,"""Holy cow, Rick. I didn't know hanging out with you was making me smarter.""",101,280
Rick,"""Full disclosure, Morty it's not. Temporary superintelligence is just a side effect of the mega seeds dissolving in your rectal cavity.""",101,281
Morty,"""Aw, man.""",101,282
Rick,"""Yeah, and once those seeds wear off, you're gonna lose most of your motor skills, and you're also gonna lose a significant amount of brain functionality for 72 hours, Morty.""",101,283
DIRECTION,"""Starting right about now.""",101,284
Morty,"""Ohh, man. (losing consciousness) Oh, geez! Ohh. (drops to the ground and starts moaning as he has a seizure)""",101,285
